Year: 2020, Count: 6828

Year: 2019, Count: 11368

Year: 2018, Count: 8137

Year: 2017, Count: 5211

Year: 2016, Count: 3885

Year: 2015, Count: 3274

Year: 2014, Count: 2403

Year: 2013, Count: 1921

Year: 2012, Count: 1484

Year: 2011, Count: 1137

Year: 2010, Count: 712

Year: 2009, Count: 595

Year: 2008, Count: 498

Year: 2007, Count: 409

Year: 2006, Count: 322

Year: 2005, Count: 247

Year: 2004, Count: 183

Year: 2003, Count: 120

Year: 2002, Count: 97

Year: 2001, Count: 81

Year: 2000, Count: 57

Year: 1999, Count: 34

Year: 1998, Count: 30

Year: 1997, Count: 33

Year: 1996, Count: 30

Year: 1995, Count: 32

Year: 1994, Count: 24

Year: 1993, Count: 22

Year: 1992, Count: 15

Year: 1991, Count: 12

Year: 1990, Count: 7

Year: 1989, Count: 7

Year: 1988, Count: 7

Year: 1987, Count: 3

Year: 1986, Count: 6

Year: 1985, Count: 4

Year: 1984, Count: 3

Year: 1983, Count: 3

Year: 1982, Count: 3

Year: 1981, Count: 1

Year: 1980, Count: 3

Year: 1979, Count: 1

Year: 1978, Count: 2

Year: 1976, Count: 3

Year: 1975, Count: 3

Year: 1974, Count: 2

Year: 1973, Count: 1

Year: 1972, Count: 1

Year: 1970, Count: 1

Year: 1969, Count: 2

Year: 1968, Count: 2

Year: 1967, Count: 1

Year: 1966, Count: 2

Year: 1965, Count: 1

Year: 1964, Count: 4

Year: 1962, Count: 1

Year: 1957, Count: 1
