Year: 2020, Count: 754

Year: 2019, Count: 1319

Year: 2018, Count: 1115

Year: 2017, Count: 1001

Year: 2016, Count: 914

Year: 2015, Count: 831

Year: 2014, Count: 663

Year: 2013, Count: 534

Year: 2012, Count: 544

Year: 2011, Count: 455

Year: 2010, Count: 396

Year: 2009, Count: 422

Year: 2008, Count: 403

Year: 2007, Count: 376

Year: 2006, Count: 346

Year: 2005, Count: 324

Year: 2004, Count: 289

Year: 2003, Count: 199

Year: 2002, Count: 177

Year: 2001, Count: 155

Year: 2000, Count: 157

Year: 1999, Count: 180

Year: 1998, Count: 174

Year: 1997, Count: 158

Year: 1996, Count: 138

Year: 1995, Count: 153

Year: 1994, Count: 123

Year: 1993, Count: 99

Year: 1992, Count: 99

Year: 1991, Count: 95

Year: 1990, Count: 74

Year: 1989, Count: 67

Year: 1988, Count: 54

Year: 1987, Count: 53

Year: 1986, Count: 31

Year: 1985, Count: 31

Year: 1984, Count: 30

Year: 1983, Count: 21

Year: 1982, Count: 18

Year: 1981, Count: 25

Year: 1980, Count: 15

Year: 1979, Count: 7

Year: 1978, Count: 8

Year: 1977, Count: 8

Year: 1976, Count: 5

Year: 1975, Count: 5

Year: 1974, Count: 1

Year: 1973, Count: 1

Year: 1972, Count: 4

Year: 1971, Count: 6

Year: 1970, Count: 7

Year: 1969, Count: 5

Year: 1968, Count: 1

Year: 1967, Count: 2

Year: 1966, Count: 1

Year: 1965, Count: 3

Year: 1964, Count: 4

Year: 1963, Count: 2
