path,extension,size_kb,fenomeno,doc_id,formato,fuente
data/raw/CODEFEST/F1_IA_y_Capacidades_Estrategicas/CSET_Georgetown/pdfs/Reports/CSET_center-for-security-and-emerging-technology-59.pdf,.pdf,1144.9,raw,DOC-0351,pdf,data/raw/CODEFEST/F1_IA_y_Capacidades_Estrategicas/CSET_Georgetown/pdfs/Reports/CSET_center-for-security-and-emerging-technology-59.pdf
data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/alertas/ALERTAS_065-18-91720.json,.json,1.5,raw,DOC-1288,json,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/alertas/ALERTAS_065-18-91720.json
data/raw/CODEFEST/F3_Dinamicas_Territoriales/CEEEP/articulos/revista/CEEEP_issue8-47-preparacion-de-la-politica-nacional-multisectorial-de-seguridad-y-defe.json,.json,1.9,raw,DOC-1516,json,data/raw/CODEFEST/F3_Dinamicas_Territoriales/CEEEP/articulos/revista/CEEEP_issue8-47-preparacion-de-la-politica-nacional-multisectorial-de-seguridad-y-defe.json
data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/alertas/ALERTAS_050-20-91784.json,.json,3.7,raw,DOC-1263,json,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/alertas/ALERTAS_050-20-91784.json
data/raw/CODEFEST/F1_IA_y_Capacidades_Estrategicas/CSET_Georgetown/pdfs/Translation/CSET_center-for-security-and-emerging-technology.pdf,.pdf,269.3,raw,DOC-0408,pdf,data/raw/CODEFEST/F1_IA_y_Capacidades_Estrategicas/CSET_Georgetown/pdfs/Translation/CSET_center-for-security-and-emerging-technology.pdf
data/raw/CODEFEST/F1_IA_y_Capacidades_Estrategicas/AI_Index_Stanford/recursos/Research_Development/datasets/AIINDEX_pubmed-nlp-timeline-csv.csv,.csv,0.4,raw,DOC-0065,csv,data/raw/CODEFEST/F1_IA_y_Capacidades_Estrategicas/AI_Index_Stanford/recursos/Research_Development/datasets/AIINDEX_pubmed-nlp-timeline-csv.csv
data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/alertas/ALERTAS_031-19-91591.json,.json,1.2,raw,DOC-1192,json,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/alertas/ALERTAS_031-19-91591.json
data/raw/CODEFEST/F3_Dinamicas_Territoriales/RESDAL/pdfs/Atlas_Anteriores/RESDAL_atlas-2005-esp.pdf,.pdf,10951.7,raw,DOC-1640,pdf,data/raw/CODEFEST/F3_Dinamicas_Territoriales/RESDAL/pdfs/Atlas_Anteriores/RESDAL_atlas-2005-esp.pdf
data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/alertas/ALERTAS_036-20-91692.json,.json,1.4,raw,DOC-1217,json,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/alertas/ALERTAS_036-20-91692.json
data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/alertas/ALERTAS_018-18-91633.json,.json,1.0,raw,DOC-1101,json,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/alertas/ALERTAS_018-18-91633.json
data/raw/CODEFEST/F3_Dinamicas_Territoriales/RESDAL/pdfs/Atlas_2024/RESDAL_23-esp-panama.pdf,.pdf,2716.7,raw,DOC-1630,pdf,data/raw/CODEFEST/F3_Dinamicas_Territoriales/RESDAL/pdfs/Atlas_2024/RESDAL_23-esp-panama.pdf
data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/alertas/ALERTAS_023-23-91881.json,.json,1.9,raw,DOC-1144,json,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/alertas/ALERTAS_023-23-91881.json
data/raw/CODEFEST/F3_Dinamicas_Territoriales/Amazon_Underworld/tiles/4/5/AMAZONUW_7.pbf,.pbf,142.5,raw,DOC-1380,pbf,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Amazon_Underworld/tiles/4/5/AMAZONUW_7.pbf
data/raw/CODEFEST/F1_IA_y_Capacidades_Estrategicas/Atlantic_Council/GeoTech_Cues/page_05/ATLCOUNCIL_05-getting-ahead-of-the-next-catalyst-a-new-paradigm-for-cybersecurity-in-the-s.json,.json,38.2,raw,DOC-0111,json,data/raw/CODEFEST/F1_IA_y_Capacidades_Estrategicas/Atlantic_Council/GeoTech_Cues/page_05/ATLCOUNCIL_05-getting-ahead-of-the-next-catalyst-a-new-paradigm-for-cybersecurity-in-the-s.json
data/raw/CODEFEST/F2_Seguridad_Entorno_Espacial/SWF_Counterspace/swf_counterspace_2026/SWF_report-data.json,.json,44.6,raw,DOC-0904,json,data/raw/CODEFEST/F2_Seguridad_Entorno_Espacial/SWF_Counterspace/swf_counterspace_2026/SWF_report-data.json
data/raw/CODEFEST/F2_Seguridad_Entorno_Espacial/INPE/noticias/INPE_2025-10-10-brasil-e-esa-unem-forcas-em-evento-pioneiro-sobre-a-missao-biomass-na-amaz.json,.json,4.5,raw,DOC-0721,json,data/raw/CODEFEST/F2_Seguridad_Entorno_Espacial/INPE/noticias/INPE_2025-10-10-brasil-e-esa-unem-forcas-em-evento-pioneiro-sobre-a-missao-biomass-na-amaz.json
